iata_code,name,latitude_deg,longitude_deg,home_link
WKK,Aleknagik / New Airport,59.2826004028,-158.617996216,
HIR,Honiara International Airport,-9.4280004501343,160.05499267578,
MUA,Munda Airport,-8.32796955108643,157.263000488281,
PPE,Mar de Cortés International Airport,31.351621,-113.305864,
INU,Nauru International Airport,-0.547458,166.919006,
AXF,Alxa Left Banner Bayanhot Airport,38.74831,105.58858,
BUA,Buka Airport,-5.4223198890686,154.673004150391,
CMU,Chimbu Airport,-6.02429008483887,144.970993041992,
DAU,Daru Airport,-9.08675956726,143.207992554,
GKA,Goroka Airport,-6.08168983459,145.391998291,
GUR,Gurney Airport,-10.3114995956,150.333999634,
PNP,Girua Airport,-8.80453968048,148.309005737,
HKN,Kimbe Airport,-5.46217012405396,150.404998779297,
KMA,Kerema Airport,-7.96361017227,145.770996094,
KVG,Kavieng Airport,-2.57940006256,150.807998657,
MAG,Madang Airport,-5.20707988739,145.789001465,
HGU,Mount Hagen Kagamuga Airport,-5.82678985595703,144.296005249023,
MDU,Mendi Airport,-6.14774,143.656998,
MAS,Momote Airport,-2.06189,147.423996,
LAE,Nadzab Airport,-6.569803,146.725977,
POM,Port Moresby Jacksons International Airport,-9.44338035583496,147.220001220703,
RAB,Tokua Airport,-4.34045982361,152.380004883,
VAI,Vanimo Airport,-2.6926,141.3028,
WBM,Wapenamanda Airport,-5.64330005645752,143.895004272461,
WWK,Wewak International Airport,-3.58383011818,143.669006348,
BCW,Benguera Island Airport,-21.8533000946045,35.4383010864258,
JEG,Aasiaat Airport,68.7218017578,-52.7846984863,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/
UAK,Narsarsuaq Airport,61.1604995728,-45.4259986877,
GOH,Godthaab / Nuuk Airport,64.19090271,-51.6781005859,
SFJ,Kangerlussuaq Airport,67.0122218992,-50.7116031647,
THU,Thule Air Base,76.5311965942,-68.7032012939,
AEY,Akureyri Airport,65.6600036621094,-18.0727005004883,
EGS,Egilsstaðir Airport,65.2833023071289,-14.4013996124268,
HFN,Hornafjörður Airport,64.295601,-15.2272,
HZK,Húsavík Airport,65.952301,-17.426001,
IFJ,Ísafjörður Airport,66.0580978393555,-23.1352996826172,
KEF,Keflavik International Airport,63.985000610352,-22.605600357056,
